App Name,Framework,Buildable,Freemium,Ads,IAP,Analytics,Calculator,History,PDF,Share,i18n,Theme,Settings,Responsive,A11y,Design,Graphs,Code Quality,Tests,Dependencies,Status,Notes
AutoLoan,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
CreditCardAPR,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
HELOCApp,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
JobOfferUS,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
LoanPayoffUS,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
MortgageCA,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
MortgageUK,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
MortgageUS,Flutter,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,READY,Reference model - skip detailed audit
ParkSmart,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
PropertyROISuite,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
RentBuyUS,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
RentalExpenses,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
SalaryApp,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
StudentLoan,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
icon_gen,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,Utility tool - may skip
rideprofit,Flutter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
TaxUS,Kotlin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
TaxeCA,Kotlin,?,✓,?,?,?,?,?,?,?,?,?,?,?,✓,✓,?,?,?,?,INCOMPLETE,AUDIT_REPORT.md exists - review + resurvey
TaxeUK,Kotlin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PENDING,
